Supply with	Abastecer
Need for	Navegador
Business	Necesidad
Negotiation	Negocio
Neuromarketing	Negociación
Price level	Neuromarketing
Educational level	Nivel de precios
Night	Nivel educativo
Brand name	Noche
Rule/ Standard	Nombre de marca
handout	Norma
News	Nota
Brand notoriety	Noticia
Fashion goods	Notoriedad de la marca
Core	Novedad
New	Núcleo
New international economic order	Nuevo
Number	Nuevo orden económico internacional
Objective	Número
Debenture	Objetivo
Piece of art	Obligación
Gift	Obras de arte
Remarks/ Comments	Obsequio
Permanent observers	Observación
Leisure	Observadores permanentes
Offer/ Supply	Ocio
Supplementary offer	Oferta
Tourism offer	Oferta complementaria
Tourist Information Center	Oferta turística
International Bureau of Social Tourism	Oficina de Información Turística
(BITS)	Oficina Internacional de Turismo
Oligopoly	Sostenible (BITS)
Olive tree	Oligopolio
Operator	Olivo
Opinion	Operadora
Opportunity	Opinión
Order	Oportunidad
Organization chart	Orden
Organization	Organigrama
United Nations Organization (UN)	Organización
International Civil Aviation Organization	Organización de Naciones Unidas (ONU)
(ICAO)	Organización Internacional de Aviación
World Trade Organization	Civil (OACI)
World Tourism Organization (WTO)	Organización Mundial de Comercio (OMC)
Organization for Economic Cooperation	Organización Mundial de Turismo (OMT)
and Development (OECD)	Organización para la Cooperación y el
Tourist organizations	Desarrollo Económico (OCDE)
Guide	Organizaciones turísticas
Market-oriented	Orientar
Origin	Orientación al consumidor
Original	Origen
Web page	Original
Payment	Página Web
Page	Pago
Country of destination	Página
Country of departure	País de destino
Issuing country	País de origen
Recipient country	País emisor
Landscape	País receptor
Developed countries	Paisaje
Developing countries	Países desarrollados
Keyword	Países en vías de desarrollo
Banner	Palabra clave
Panel	Pancarta
Pamphlet	Panel
Overview/ Landscape	Panfleto
Screen	Panorama
Paper	Pantalla
Package tour	Papel
Preset package tour	Paquete turístico
Parador	Paquete turístico preestablecido
Paradise	Parador turístico
Parenthesis/ slashes	Paraíso
Amusement park/ Theme park	Paréntesis
Science park	Parque de atracciones
Nature reserve	Parque de las ciencias
Protected park	Parque natural
Engage/ participate	Parque protegido
Passanger	Participar
Past	Pasajero
Passive	Pasado
Heritage/ Wealth	Pasivo
Sponsorship	Patrimonio
Boss	Patrocinio
Pause	Patrón
Pattern	Pausa
Order	Pauta
Negative slope	Pedido
Full board	Pendiente negativa
Pension	Pensión completa
Perception	Pensión
Perishable	Percepción
Religious pilgrimages	Perecedero
Profile	Peregrinaciones religiosas
Newspaper	Perfil
Period	Periódico
Permanent	Período
Overnight	Permanente
Person	Pernoctación
Perspective	Persona
Cleaning/ Maintenance staff	Perspectiva
Persuade	Personal de limpieza
Piece	Persuadir
Pilot	Pieza
Kitchen helper	Piloto
Pioneer	Pinche de cocina
Marketing plan/ strategy	Pionero
Economic plan	Plan de marketing
Business planning	Plan económico
Strategic planning	Planificación comercial
Tourism planning	Planificación estratégica
Parking space	Planificación turística
Full employment	Plaza de garaje
Population	Pleno empleo
Poverty	Población
Purchasing power	Pobreza
Executive power	Poder adquisitivo
Judiciary	Poder ejecutivo
legislature	Poder judicial
Policy	Poder legislativo
Community policy	Política
Qualitative policy	Política comunitaria
Quantitative policy	Política cualitativa
Policy of reform	Política cuantitativa
Incomes policy	Política de reformas
Economic policy	Política de rentas
Fiscal policy	Política económica
Monetary policy	Política fiscal
Policy of tying	Política monetaria
Instrumental policies	Políticas de oferta
Sectoral policies	Políticas instrumentales
Percentage	Políticas sectoriales
Inn	Porcentaje
Positioning	Posada
Market positioning	Posicionamiento
Traineeship	Posicionamiento en el mercado
Sports practices	Prácticas
Price	Prácticas deportivas
Price skimming	Precio
Break-even price	Precio descremado o desnatación
Penetration pricing	Precio de equilibrio
Reference price	Precio de penetración
Psychological price	Precio de referencia
Segmented prices	Precio psicológico
Consumer preferences	Precios segmentados
Press	Preferencias del consumidor
Concern	Prensa
Provision of public services	Preocupación
Forecast	Prestación de servicio
Privatization	Previsión
Problem	Privatización
Procession	Problema
Process	Procesión
Production	Proceso
Hotel production	Producción
Productivity	Producción hotelera
Local product	Productividad
Gross domestic product (GDP)	Producto autóctono
Gross national product (GNP)	Producto Interior Bruto
Tourist product	Producto Nacional Bruto
Producers	Producto turístico
Profession	Productores
Economic programme	Profesión
Progress	Programa económico
Promotion	Progreso
Sales promotion	Promoción
Private property	Promoción de ventas
Production factors’ owners	Propiedad privada
Tip	Propietarios de los factores de producción
Protectionism	Propina
Supplier	Proteccionismo
Project	Proveedor
Advrtising	Proyecto
Comparative advertising	Publicidad
Deceitful advertising	Publicidad comparativa
Inverted publicity	Publicidad engañosa
Promotion	Publicidad invertida
Target group	Publicity
Stand/ Post	Público objetivo
Contact point	Puestos
Weakness	Punto de contacto
Strength	Puntos débiles
Complaint	Puntos fuertes
Complaint	Queja
Cheese	Querella
Biweekly	Queso
Kiosk	Quincenal
Take away / Remove	Quiosco de prensa
Slow down	Quitar
Branch	Ralentizar
Trace / Track	Rama
Ratio	Rastrear
Takings	Ratio
Reception desk	Recaudación
Receptionist	Recepción
Recession	Recepcionista
Recommendation	Recesión
Souvenir	Recomendación
Economic recovery	Recuerdo
Resource	Recuperación económica
Tourist resource	Recurso
Communication network	Recurso turístico
Distribution network	Red de comunicación
Social network	Redes de distribución
Reduce	Redes sociales
Redundency	Reducir
Refund	Redundancia
Reform	Reembolsar
Meal plan	Reforma
Discretional system	Régimen de comidas
Special regime	Régimen discrecional
Regular regime	Régimen especial
Regional	Régimen regular
Register	Regional
Regular	Registro
Regulation	Regular
Ratio/Relation	Regulación
Quality-price ratio	Relación
Aid relationships	Relación calidad/precio
Collaborative relationships	Relaciones de ayuda
Cooperative relationships	Relaciones de colaboración
Financing relationships	Relaciones de cooperación
Planning relationships	Relaciones de financiación
Public relations	Relaciones de planificación
International tourism relations	Relaciones públicas
Relief	Relaciones turísticas internacionales
Efficiency factor	Relieve
Income/Rent	Rendimiento
Disposable income	Renta
Profitability	Renta disponible
Distribute	Rentabilidad
Repetition	Repartir
News report	Repetición
Represent	Reportaje
Hotel representative	Representar
Reputation	Representante de hotel
Point out/ Highlight	Reputación
Reservation	Resaltar
Resident	Reserva
Resort	Residente
Restaurant	Resort
Summary	Restaurante
Selective retention	Resumen
Challenge	Retención selectiva
Delay	Reto
Retransmission	Retraso
Reunion	Retransmisión
Revaluation	Reunión
Review	Revaluación
Magazine	Revisar
Risk	Revista
Rigid	Riesgo
Wealth	Rígido
Rhythm	Riqueza
Rivalry	Ritmo
