Abastecer	Supply with
Clasificación	Classification
Cliente	Customer/ Client
Clima	Climate
Cobertura de mercado	Market coverage
Cobrar	Charge
Coche	Car
Coche alquilado	Rented car/ Hired car
Coche propio	Own car
Cocina convencional	Conventional cuisine
Cocina local	Local cuisine
Cocina nacional	National cuisine
Cocina regional	Regional cuisine
Codificación	Coding/ Codification
Código	Code
Código ético mundial	Global Code of Ethics
Coeficiente	Coefficient
Cofradía	Brotherhood
Columna	Column
Comensal	Diner
Comercialización	Marketing/ Commercialization
Comercial	Commercial/ Trade
Comercio	Trade/ Commerce
Comercio electrónico	Electronic commerce/ E-commerce
Comercio internacional	International trade
Comisión Europea de Turismo	European Travel Commission
Comisiones regionales	Regional commissions
Comités especializados	Specialized committees
Compañero	Partner/ Companion
Compañía aérea 	Airline company/ Air carrier
Compañía naviera	Shipping company
Competencia	Competition/ Competence
Competencia monopolística 	Monopolistic competition
Competencia perfecta		Perfect competition
Competitividad	Competitiveness
Comportamiento	Behaviour(GB), behavior(USA)
Compras	Purchases
Compraventa	Sale of goods
Comprobar 	Check/ Verify
Comunicación	Communication
Comunicación de destino	Communication of destination
Comunicación global	Global communication
Comunicación integrada	Integrated communication 
Comunidad Autónoma	Autonomous Community
Comunidad internacional	International community
Concentración	Concentration/ Consolidation
Concentración geográfica	Geographical concentration 
Concepto	Concept/ Idea 
Confianza	Confidence/Trust
Confirmación de reserva	Confirmation of reservation
Conocimiento	Knowledge
Conocimiento del producto	Product knowledge
Conocimiento previo	Prior knowledge
Consejero	Counselor/ Advisor
Consejo ejecutivo	Executive Council/ Executive Board
Consejo Mundial de Turismo (WTTC)	World Travel and Tourism Council (WTTC)
Consulados	Consulate
Consumidor	Consumer
Consumo primario	Primary consumption
Consumo privado	Private consumption
Consumo público	Public consumption
Consumo secundario 	Secondary consumption
Consumo turístico	Tourist consumption
Consumo turístico dentro de las fronteras	Tourist consumption within national 
borders
Consumo turístico fuera de las fronteras	Tourist consumption outside national
borders
Contabilidad		Accounting
Contra reembolso	Against reimbursement
Coordinador	Coordinator
Cooperación	Cooperation/ Co-operation
Correo	Mail/ Post/ E-mail
Corto plazo	Short-term
Costa	Coast/ Shore/ Seaside
Costalero	Costalero
Coste	Cost/ Fee
Cotización	Quote/ Quotation
Coyuntura turística (COYUNTUR)	Tourist juncture
Crear	Create
Crecimiento económico	Economic growth
Credibilidad	Credibility
Crédito	Credit
Creencias ideológicas		Ideological beliefs
Creencias religiosas	Religious beliefs
Crisis económica		Economic crisis
Crisis energética	Energy crisis
Crítica	Criticism
Crucero	Cruise
Cualidad	Quality
Cuantificar	Quantify
Cuenta corriente	Current account
Cuenta de crédito	Credit account/ Charge account
Cuenta Satélite de Turismo (CST)	Tourism Satellite Account (TSA)
Cuestionario	Questionnaire
Cupo de ventas	Quota of sales
Cultura	Culture
Cultura del ocio	Leisure culture
Cuña publicitaria		Advertising wedge
Cuota de mercado	Share market
Curva de demanda	Demand curve
Curva de oferta	Offer curve
Dato	Data/ Datum
Datos primarios	Primary data
Datos secundarios	Secondary data
Debate	Debate/ Discussion
Debe	Debit/ Must/ Need
Decisión compleja	Complex decision
Decisión rutinaria	Routine decision-making
Decoración	Decoration
Déficit exterior	External deficit
Déficit público	Public deficit
Definición conceptual	Conceptual definition
Definición técnica	Technical definition
Deflación	Deflation
Degustación de productos	Tasting of products
Demanda	Demand
Demanda diferida	Deferred demand
Demanda efectiva	Effectiva demand
Demanda potencial	Potentional demand
Demanda turística	Tourist demand
Demografía	Demography
Demostración	Demonstration
Densidad de población	Population density
Dependencia exterior		External dependency
Deporte	Sport
Depreciación	Depreciation
Desajuste	Mismatch
